Ticker,Sector,Industry,ROE > 17%,EPS Up 18% (1Y),Sales Up 25% (1Q),Sales Accel. (3Q),EPS Up 25% (5Y),Debt/Equity Down (3Y),Cash/Shares Up 20% (vs. EPS),Passes
MRNA,Health Technology,Biotechnology,True,True,True,True,True,True,True,7
FANG,Energy Minerals,Oil & Gas Production,True,True,False,True,True,True,True,6
NFLX,Technology Services,Internet Software/Services,True,True,False,True,True,True,True,6
PDD,Retail Trade,Department Stores,True,True,True,False,True,True,True,6
CPRT,Retail Trade,Specialty Stores,True,True,False,True,True,True,True,6
QCOM,Electronic Technology,Semiconductors,True,True,False,True,True,True,True,6
TSLA,Consumer Durables,Motor Vehicles,True,True,False,False,True,True,True,5
FAST,Distribution Services,Wholesale Distributors,True,True,False,True,True,False,True,5
PCAR,Producer Manufacturing,Trucks/Construction/Farm Machinery,True,True,False,False,True,True,True,5
LRCX,Producer Manufacturing,Industrial Machinery,True,True,False,True,True,False,True,5
AMAT,Producer Manufacturing,Industrial Machinery,True,True,False,True,True,False,True,5
ODFL,Transportation,Trucking,True,True,False,True,True,False,True,5
PEP,Consumer Non-Durables,Beverages: Non-Alcoholic,True,True,False,False,True,True,True,5
MNST,Consumer Non-Durables,Beverages: Non-Alcoholic,True,True,False,False,True,True,True,5
CCEP,Consumer Non-Durables,Beverages: Non-Alcoholic,True,True,False,True,True,False,True,5
GOOGL,Technology Services,Internet Software/Services,True,True,False,False,True,True,True,5
GOOG,Technology Services,Internet Software/Services,True,True,False,False,True,True,True,5
ADP,Technology Services,Data Processing Services,True,True,False,True,True,False,True,5
MSFT,Technology Services,Packaged Software,True,True,False,False,True,True,True,5
CDNS,Technology Services,Packaged Software,True,True,False,True,True,False,True,5
CTSH,Technology Services,Information Technology Services,True,True,False,False,True,True,True,5
GILD,Health Technology,Biotechnology,True,True,False,False,True,True,True,5
VRTX,Health Technology,Pharmaceuticals: Major,True,True,False,False,True,True,True,5
REGN,Health Technology,Pharmaceuticals: Major,True,True,False,False,True,True,True,5
ROST,Retail Trade,Apparel/Footwear Retail,True,True,False,False,True,True,True,5
DLTR,Retail Trade,Discount Stores,True,True,False,False,True,True,True,5
COST,Retail Trade,Specialty Stores,True,True,False,False,True,True,True,5
EXC,Utilities,Electric Utilities,False,True,False,True,True,True,True,5
AAPL,Electronic Technology,Telecommunications Equipment,True,True,False,True,True,False,True,5
NVDA,Electronic Technology,Semiconductors,True,True,True,False,True,False,True,5
MCHP,Electronic Technology,Semiconductors,True,True,False,False,True,True,True,5
ON,Electronic Technology,Semiconductors,True,True,False,False,True,True,True,5
BKNG,Consumer Services,Other Consumer Services,True,True,True,False,True,False,True,5
ABNB,Consumer Services,Other Consumer Services,True,True,True,False,True,False,True,5
TMUS,Communications,Wireless Telecommunications,False,True,False,True,True,False,True,4
BKR,Industrial Services,Contract Drilling,False,True,False,False,True,True,True,4
DASH,Transportation,Air Freight/Couriers,False,True,False,True,True,False,True,4
MDLZ,Consumer Non-Durables,Food: Specialty/Candy,False,True,False,True,True,False,True,4
META,Technology Services,Internet Software/Services,True,True,False,False,True,False,True,4
VRSK,Technology Services,Data Processing Services,True,True,False,False,True,False,True,4
PAYX,Technology Services,Data Processing Services,True,True,False,False,True,False,True,4
SNPS,Technology Services,Packaged Software,True,True,False,False,True,False,True,4
PANW,Technology Services,Packaged Software,True,True,False,False,True,False,True,4
INTU,Technology Services,Packaged Software,False,True,False,True,True,False,True,4
TTD,Technology Services,Packaged Software,False,True,False,False,True,True,True,4
CRWD,Technology Services,Packaged Software,False,True,False,True,True,False,True,4
ADBE,Technology Services,Packaged Software,True,True,False,True,True,False,-,4
ADSK,Technology Services,Packaged Software,True,True,False,False,True,False,True,4
TEAM,Technology Services,Packaged Software,False,True,False,True,True,False,True,4
ANSS,Technology Services,Packaged Software,False,True,False,False,True,True,True,4
ROP,Technology Services,Packaged Software,False,True,False,False,True,True,True,4
MDB,Technology Services,Packaged Software,False,True,False,False,True,True,True,4
FTNT,Technology Services,Information Technology Services,True,True,False,False,True,False,True,4
CSCO,Technology Services,Information Technology Services,True,True,False,False,True,False,True,4
CDW,Technology Services,Information Technology Services,True,True,False,False,True,False,True,4
IDXX,Health Technology,Medical Specialties,True,True,False,False,True,False,True,4
WBA,Health Technology,Pharmaceuticals: Major,False,True,False,True,True,False,True,4
BIIB,Health Technology,Pharmaceuticals: Major,True,False,False,False,True,True,True,4
AMGN,Health Technology,Pharmaceuticals: Major,True,True,False,False,True,False,True,4
LULU,Retail Trade,Internet Retail,True,True,False,False,True,False,True,4
XEL,Utilities,Electric Utilities,False,True,False,True,True,False,True,4
AEP,Utilities,Electric Utilities,False,True,False,True,True,False,True,4
CEG,Utilities,Electric Utilities,False,True,False,True,True,-,True,4
KLAC,Electronic Technology,Electronic Equipment/Instruments,True,True,False,False,True,False,True,4
HON,Electronic Technology,Aerospace & Defense,True,True,False,False,True,False,True,4
TXN,Electronic Technology,Semiconductors,True,True,False,False,True,False,True,4
NXPI,Electronic Technology,Semiconductors,True,True,False,False,True,False,True,4
MU,Electronic Technology,Semiconductors,False,True,False,True,True,False,True,4
AVGO,Electronic Technology,Semiconductors,True,True,False,False,True,False,True,4
ASML,Electronic Technology,Semiconductors,True,True,False,False,True,False,True,4
ADI,Electronic Technology,Semiconductors,False,True,False,True,True,False,True,4
AMD,Electronic Technology,Semiconductors,False,True,False,True,True,False,True,4
SIRI,Consumer Services,Broadcasting,-,True,False,False,True,True,True,4
CHTR,Consumer Services,Cable/Satellite TV,True,True,False,False,True,False,True,4
PYPL,Commercial Services,Miscellaneous Commercial Services,False,True,False,False,True,False,True,3
FI,Finance,Regional Banks,False,True,False,False,True,False,True,3
KDP,Consumer Non-Durables,Beverages: Non-Alcoholic,False,True,False,False,True,False,True,3
ZS,Technology Services,Data Processing Services,False,True,False,False,True,False,True,3
EA,Technology Services,Packaged Software,False,True,False,False,True,False,True,3
DDOG,Technology Services,Packaged Software,False,True,False,False,True,False,True,3
SPLK,Technology Services,Packaged Software,False,True,False,False,True,False,True,3
WDAY,Technology Services,Information Technology Services,False,True,False,False,True,False,True,3
ILMN,Health Technology,Biotechnology,False,True,False,False,True,False,True,3
ISRG,Health Technology,Medical Specialties,False,True,False,False,True,False,True,3
DXCM,Health Technology,Medical Specialties,False,True,False,False,True,False,True,3
AZN,Health Technology,Pharmaceuticals: Major,False,True,False,False,True,True,-,3
ORLY,Retail Trade,Specialty Stores,-,True,False,False,True,False,True,3
AMZN,Retail Trade,Internet Retail,False,True,False,False,True,False,True,3
MRVL,Electronic Technology,Semiconductors,False,True,False,False,True,False,True,3
INTC,Electronic Technology,Semiconductors,False,True,False,False,True,False,True,3
SBUX,Consumer Services,Restaurants,-,True,False,False,True,False,True,3
WBD,Consumer Services,Cable/Satellite TV,False,False,False,False,True,True,True,3
CMCSA,Consumer Services,Cable/Satellite TV,False,True,False,False,True,False,True,3
GEHC,Health Technology,Medical Specialties,False,True,False,False,-,-,True,2
